Адамівський Горб вулиця	вулиця Адамівський Горб
Батуринський шлях вулиця	вулиця Батуринський Шлях
Березанський шлях вулиця	вулиця Березанський Шлях
Білопільський Шлях вулиця	вулиця Білопільський Шлях
Борзнянський шлях вулиця	вулиця Борзнянський Шлях
Борзнянський Шлях вулиця	вулиця Борзнянський Шлях
Боринський Вирх вулиця	вулиця Боринський Вирх
Вересівський Шлях вулиця	вулиця Вересівський Шлях
Височанський шлях вулиця	вулиця Височанський Шлях
Вільський Шлях вулиця	вулиця Вільський Шлях
Вірменський Ринок площа	площа Вірменський Ринок
Ворожбянський Шлях вулиця	вулиця Ворожбянський Шлях
Галковський Кут вулиця	вулиця Галковський Кут
Гатненський проїзд вулиця	вулиця Гатненський Проїзд
Гетьманський Шлях вулиця	вулиця Гетьманський Шлях
Гірський Потік вулиця	вулиця Гірський Потік
Глинянський Тракт вулиця	вулиця Глинянський Тракт
Глухівський Шлях вулиця	вулиця Глухівський Шлях
Горіхуватський шлях вулиця	вулиця Горіхуватський Шлях
Горобівський Шлях вулиця	вулиця Горобівський Шлях
Гребінський вулиця	вулиця Гребінський
Громадський Лан вулиця	вулиця Громадський Лан
Даньківський шлях вулиця	вулиця Даньківський Шлях
Дерешівський кут вулиця	вулиця Дерешівський Кут
Диканський шлях вулиця	вулиця Диканський Шлях
Дніпровський Узвіз вулиця	вулиця Дніпровський Узвіз
Єсманський шлях вулиця	вулиця Єсманський Шлях
Жаб’євський Потік вулиця	вулиця Жабʼєвський Потік
Зазимський шлях вулиця	вулиця Зазимський Шлях
Зазимський Шлях вулиця	вулиця Зазимський Шлях
Занасипський Шлях вулиця	вулиця Занасипський Шлях
Зарайський Потік вулиця	вулиця Зарайський Потік
Золочівський шлях вулиця	вулиця Золочівський Шлях
Інститутський проріз вулиця	вулиця Інститутський Проріз
Іржавський шлях вулиця	вулиця Іржавський Iлях
Кадетський Гай вулиця	вулиця Кадетський Гай
Квичівський Горб вулиця	вулиця Квичівський Горб
Київський шлях вулиця	вулиця Київський Iлях
Київський Шлях вулиця	вулиця Київський Шлях
Козарський Шлях вулиця	вулиця Козарський Шлях
Комсомольський вулиця	вулиця Комсомольський
Конотопський шлях вулиця	вулиця Конотопський Iлях
Королівський З'їзд вулиця	вулиця Королівський Зʼїзд
Красноперівський ліс вулиця	вулиця Красноперівський ліс
Крачківський вигін вулиця	вулиця Крачківський Вигін
Куликівський шлях вулиця	вулиця Куликівський Шлях
Лідівський Шлях вулиця	вулиця Лідівський Шлях
Миколаївський Лужок вулиця	вулиця Миколаївський Лужок
Михайлівський Яр вулиця	вулиця Михайлівський Яр
Монастирський острів вулиця	вулиця Монастирський Острів
Мринський Шлях вулиця	вулиця Мринський Шлях
Ніжинський шлях вулиця	вулиця Ніжинський Шлях
Ніжинський Шлях вулиця	вулиця Ніжинський Шлях
Носівський Шлях вулиця	вулиця Носівський Шлях
Павліківський Потік вулиця	вулиця Павліківський Потік
Панський Шлях вулиця	вулиця Панський Шлях
Переяславський шлях вулиця	вулиця Переяславський Шлях
Переяславський Шлях вулиця	вулиця Переяславський Шлях
Петровський шлях вулиця	вулиця Петровський Шлях
Пирогівський шлях вулиця	вулиця Пирогівський Шлях
Пирогівський Шлях вулиця	вулиця Пирогівський Шлях
Погребський шлях вулиця	вулиця Погребський Шлях
Поліський Шлях вулиця	вулиця Поліський Шлях
Пологівський шлях вулиця	вулиця Пологівський Шлях
Полтавський полк вулиця	вулиця Полтавський Полк
Полтавський шлях вулиця	вулиця Полтавський Шлях
Полтавський Шлях вулиця	вулиця Полтавський Шлях
Польський ринок площа	площа Польський Ринок
Польський Ринок площа	площа Польський Ринок
Посульський Узвіз вулиця	вулиця Посульський Узвіз
Приморський спуск вулиця	вулиця Приморський Спуск
Приудайський узвіз вулиця	вулиця Приудайський Узвіз
Райський куточок вулиця	вулиця Райський Куточок
Рижовський парк вулиця	вулиця Рижовський Парк
Ростовський Шлях вулиця	вулиця Ростовський Шлях
Руський Вал вулиця	вулиця Руський Вал
Руський Ринок площа	площа Руський Ринок
Саговський вулиця	вулиця Саговський
Севастопольський Бульвар вулиця	вулиця Севастопольський Бульвар
Севастопольський вулиця	вулиця Севастопольський
Сиренівський вулиця	вулиця Сиренівський
Сіверський шлях вулиця	вулиця Сіверський Шлях
Солтиський Лан вулиця	вулиця Солтиський Лан
Станичанський Шлях вулиця	вулиця Станичанський Шлях
Станція Коростень-Житомирський вулиця	вулиця Станція Коростень-Житомирський
Старожучківський Шлях вулиця	вулиця Старожучківський Шлях
Суботівський шлях вулиця	вулиця Суботівський Шлях
Сумський шлях вулиця	вулиця Сумський Шлях
Сумський Шлях вулиця	вулиця Сумський Шлях
Сяберський Шлях вулиця	вулиця Сяберський Шлях
Український хутір вулиця	вулиця Український Хутір
Український Хутір вулиця	вулиця Український Хутір
Харківський шлях вулиця	вулиця Харківський Шлях
Херсонський Шлях вулиця	вулиця Херсонський Шлях
Холодноярський майдан вулиця	вулиця Холодноярський Майдан
Хорольський спуск вулиця	вулиця Хорольський Спуск
Червоноармійський вулиця	вулиця Червоноармійський
Черкаський Шлях вулиця	вулиця Черкаський Шлях
Чернігівський шлях вулиця	вулиця Чернігівський Шлях
Чернячанський спуск вулиця	вулиця Чернячанський Спуск
Чигиринський шлях вулиця	вулиця Чигиринський Шлях
Щомаківський Горб вулиця	вулиця Щомаківський Горб
Явірський Потік вулиця	вулиця Явірський Потік
Cумський шлях вулиця	вулиця Cумський Шлях