Билинна вулиця	Билинна вулиця
Верховинна вулиця	Верховинна вулиця
Верховинний проїзд	Верховинний проїзд
Вершинна вулиця	Вершинна вулиця
Вершинний міст	Вершинний міст
Горобинна вулиця	Горобинна вулиця
Горобинний проїзд	Горобинний проїзд
Гостинна вулиця	Гостинна вулиця
Гостинний провулок	Гостинний провулок
Гостинний проїзд	Гостинний проїзд
Гумлинна вулиця	Гумлинна вулиця
Десятинна вулиця	Десятинна вулиця
Десятинний провулок	Десятинний провулок
Долинна вулиця	Долинна вулиця
Долинний провулок	Долинний провулок
Жасминна вулиця	Жасминна вулиця
Картинна вулиця	Картинна вулиця
Кінчинна вулиця	Кінчинна вулиця
Конюшинна вулиця	Конюшинна вулиця
Котловинна вулиця	Котловинна вулиця
Магазинна вулиця	Магазинна вулиця
Малинна вулиця	Малинна вулиця
Машинна вулиця	Машинна вулиця
Млинна вулиця	Млинна вулиця
Млинний провулок	Млинний провулок
Млинний спуск	Млинний спуск
Млинний спуск вулиця	вулиця Млинний Спуск
Надгоринна вулиця	Надгоринна вулиця
Неглинна вулиця	Неглинна вулиця
Низинна вулиця	Низинна вулиця
Ожинна вулиця	Ожинна вулиця
Перлинна вулиця	Перлинна вулиця
Перлинний провулок	Перлинний провулок
Підкалинна вулиця	Підкалинна вулиця
Плотинна вулиця	Плотинна вулиця
Рівнинна вулиця	Рівнинна вулиця
Родинна вулиця	Родинна вулиця
Родинний провулок	Родинний провулок
Родинний проїзд	Родинний проїзд
Рослинна вулиця	Рослинна вулиця
Рослинний провулок	Рослинний провулок
Свинна вулиця	Свинна вулиця
Старинний провулок	Старинний провулок
Тополинна вулиця	Тополинна вулиця
Тростинна вулиця	Тростинна вулиця
Целинна вулиця	Целинна вулиця
Цілинна вулиця	Цілинна вулиця
Цілинний провулок	Цілинний провулок
Черемшинна вулиця	Черемшинна вулиця
Шинна вулиця	Шинна вулиця