Вертепна вулиця	Вертепна вулиця
Вуглекопна вулиця	Вуглекопна вулиця
Доступна вулиця	Доступна вулиця
Жупна вулиця	Жупна вулиця
Закопна вулиця	Закопна вулиця
Занасипна вулиця	Занасипна вулиця
Зернорадгоспна вулиця	Зернорадгоспна вулиця
Колгоспна вулиця	Колгоспна вулиця
Лісгоспна вулиця	Лісгоспна вулиця
Лісогоспна вулиця	Лісогоспна вулиця
Мала Насипна вулиця	Мала Насипна вулиця
Малоколгоспна вулиця	Малоколгоспна вулиця
Міжколгоспна вулиця	Міжколгоспна вулиця
Насипна вулиця	Насипна вулиця
Новоколгоспна вулиця	Новоколгоспна вулиця
Підгоспна вулиця	Підгоспна вулиця
Піднасипна вулиця	Піднасипна вулиця
Підстепна вулиця	Підстепна вулиця
Принасипна вулиця	Принасипна вулиця
Пристепна вулиця	Пристепна вулиця
Радгоспна вулиця	Радгоспна вулиця
Рибгоспна вулиця	Рибгоспна вулиця
Розкопна вулиця	Розкопна вулиця
Степна вулиця	Степна вулиця
Стрипна вулиця	Стрипна вулиця