1 Головний провулок	1-й Головний провулок
1 Загребельний провулок	1-й Загребельний провулок
1 Ірпіньський провулок	1-й Ірпінський провулок
1 Московський провулок	1-й Московський провулок
1 Ніжинський проїзд	1-й Ніжинський проїзд
1 Покровський провулок	1-й Покровський провулок
1 провулок Першотравневий	1-й Першотравневий провулок
1 шахтерский тупик	1-й Шахтарський тупик
1-ий Колгоспний провулок	1-й Колгоспний провулок
1-ий Садовий провулок	1-й Садовий провулок
1-ий Садовий тупик	1-й Садовий тупик
1-й Абрикосовий провулок	1-й Абрикосовий провулок
1-й Авіаційний провулок	1-й Авіаційний провулок
1-й Аграрний тупик	1-й Аграрний тупик
1-й Аеродромний провулок	1-й Аеродромний провулок
1-й Алебастровий провулок	1-й Алебастровий провулок
1-й Амурський провулок	1-й Амурський провулок
1-й Ангарський проїзд	1-й Ангарський проїзд
1-й Андріївський провулок	1-й Андріївський провулок
1-й Аравійський в’їзд	1-й Аравійський вʼїзд
1-й Арктичний провулок	1-й Арктичний провулок
1-й Артилерійський провулок	1-й Артилерійський провулок
1-й Базарний провулок	1-й Базарний провулок
1-й Балтійський провулок	1-й Балтійський провулок
1-й Барвінковий проїзд	1-й Барвінковий проїзд
1-й Басейний провулок	1-й Басейний провулок
1-й Баштанський провулок	1-й Баштанський провулок
1-й Бердичівський провулок	1-й Бердичівський провулок
1-й Береговий провулок	1-й Береговий провулок
1-й Березівський провулок	1-й Березівський провулок
1-й Березовий провулок	1-й Березовий провулок
1-й Березовий проїзд	1-й Березовий проїзд
1-й Бібліотечний тупик	1-й Бібліотечний тупик
1-й Богунський провулок	1-й Богунський провулок
1-й Богунський проїзд	1-й Богунський проїзд
1-й Бойовий провулок	1-й Бойовий провулок
1-й Болгарський провулок	1-й Болгарський провулок
1-й Болгарський проїзд	1-й Болгарський проїзд
1-й Бортницький провулок	1-й Бортницький провулок
1-й Ботанічний провулок	1-й Ботанічний провулок
1-й Братський провулок	1-й Братський провулок
1-й Брестський провулок	1-й Брестський провулок
1-й Бузковий провулок	1-й Бузковий провулок
1-й Бузковий проїзд	1-й Бузковий проїзд
1-й Буковинський провулок	1-й Буковинський провулок
1-й Бульварний провулок	1-й Бульварний провулок
1-й Валовий провулок	1-й Валовий провулок
1-й Варшавський провулок	1-й Варшавський провулок
1-й Вербовий провулок	1-й Вербовий провулок
1-й Верстатний в’їзд	1-й Верстатний вʼїзд
1-й Верхній проїзд	1-й Верхній проїзд
1-й Веселий провулок	1-й Веселий провулок
1-й Весняний провулок	1-й Весняний провулок
1-й Вечірній провулок	1-й Вечірній провулок
1-й Виноградний провулок	1-й Виноградний провулок
1-й Винокурний провулок	1-й Винокурний провулок
1-й Високовольтний в’їзд	1-й Високовольтний вʼїзд
1-й Високогірний проїзд	1-й Високогірний проїзд
1-й Вишневий провулок	1-й Вишневий провулок
1-й Віденський провулок	1-й Віденський провулок
1-й Вільний провулок	1-й Вільний провулок
1-й Вінницький провулок	1-й Вінницький провулок
1-й Вовчанський провулок	1-й Вовчанський провулок
1-й Водопійний провулок	1-й Водопійний провулок
1-й Водопровідний провулок	1-й Водопровідний провулок
1-й Воздвиженський провулок	1-й Воздвиженський провулок
1-й Вокзальний провулок	1-й Вокзальний провулок
1-й Волгоградський провулок	1-й Волгоградський провулок
1-й Волочаївський провулок	1-й Волочаївський провулок
1-й Врожайний проїзд	1-й Врожайний проїзд
1-й Газетний провулок	1-й Газетний провулок
1-й Географічний проїзд	1-й Географічний проїзд
1-й Георгіївський в’їзд	1-й Георгіївський вʼїзд
1-й Гоголівський провулок	1-й Гоголівський провулок
1-й Горіхівський провулок	1-й Горіхівський провулок
1-й Горіховий проїзд	1-й Горіховий проїзд
1-й Горовий провулок	1-й Горовий провулок
1-й Госпітальний провулок	1-й Госпітальний провулок
1-й Гостинний в'їзд	1-й Гостинний вʼїзд
1-й Гранітний провулок	1-й Гранітний провулок
1-й Грідротехнічний проїзд	1-й Грідротехнічний проїзд
1-й Ґданський провулок	1-й Ґданський провулок
1-й Ґданський тупик	1-й Ґданський тупик
1-й Далекий провулок	1-й Далекий провулок
1-й Данилівський провулок	1-й Данилівський провулок
1-й Дачний провулок	1-й Дачний провулок
1-й Деповський провулок	1-й Деповський провулок
1-й Деповський тупик	1-й Деповський тупик
1-й Деревообробний провулок	1-й Деревообробний провулок
1-й Джерельний провулок	1-й Джерельний провулок
1-й Дніпровський провулок	1-й Дніпровський провулок
1-й Дніпровський проїзд	1-й Дніпровський проїзд
1-й Дружний провулок	1-й Дружний провулок
1-й Дунайський провулок	1-й Дунайський провулок
1-й Електронний провулок	1-й Електронний провулок
1-й Електронний проїзд	1-й Електронний проїзд
1-й Житловий провулок	1-й Житловий провулок
1-й Житній провулок	1-й Житній провулок
1-й Житомирський провулок	1-й Житомирський провулок
1-й Жовтневий в’їзд	1-й Жовтневий вʼїзд
1-й Жовтневий провулок	1-й Жовтневий провулок
1-й Заводський провулок	1-й Заводський провулок
1-й Заводський тупик	1-й Заводський тупик
1-й Завокзальний провулок	1-й Завокзальний провулок
1-й Загребельний провулок	1-й Загребельний провулок
1-й Заливний провулок	1-й Заливний провулок
1-й Залізничний провулок	1-й Залізничний провулок
1-й Замковий провулок	1-й Замковий провулок
1-й Заозерний провулок	1-й Заозерний провулок
1-й Зарічний провулок	1-й Зарічний провулок
1-й Затишний тупик	1-й Затишний тупик
1-й Західний провулок	1-й Західний провулок
1-й Збаразький провулок	1-й Збаразький провулок
1-й Звенигородський провулок	1-й Звенигородський провулок
1-й Звенигородський проїзд	1-й Звенигородський проїзд
1-й Звягельський провулок	1-й Звягельський провулок
1-й Зелений провулок	1-й Зелений провулок
1-й Зеленодільський проїзд	1-й Зеленодільський проїзд
1-й Зерновий проїзд	1-й Зерновий проїзд
1-й Зірковий проїзд	1-й Зірковий проїзд
1-й Золотий в’їзд	1-й Золотий вʼїзд
1-й Золочівський провулок	1-й Золочівський провулок
1-й Зоологічний провулок	1-й Зоологічний провулок
1-й Інгульський провулок	1-й Інгульський провулок
1-й Індустріальний провулок	1-й Індустріальний провулок
1-й Індустріальний тупик	1-й Індустріальний тупик
1-й Іподромний провулок	1-й Іподромний провулок
1-й Істомінський провулок	1-й Істомінський провулок
1-й Калинівський провулок	1-й Калинівський провулок
1-й Калиновий провулок	1-й Калиновий провулок
1-й Кам’янецький проїзд	1-й Камʼянецький проїзд
1-й Кар’єрний провулок	1-й Карʼєрний провулок
1-й Карпатський провулок	1-й Карпатський провулок
1-й Карпатський проїзд	1-й Карпатський проїзд
1-й Каховський провулок	1-й Каховський провулок
1-й Каховський проїзд	1-й Каховський проїзд
1-й Каштановий провулок	1-й Каштановий провулок
1-й Каштановий проїзд	1-й Каштановий проїзд
1-й Кварцівський провулок	1-й Кварцівський провулок
1-й Квітковий провулок	1-й Квітковий провулок
1-й Квітневий провулок	1-й Квітневий провулок
1-й Квітучий провулок	1-й Квітучий провулок
1-й Керамічний провулок	1-й Керамічний провулок
1-й Керченський провулок	1-й Керченський провулок
1-й Київський провулок	1-й Київський провулок
1-й Київський проїзд	1-й Київський проїзд
1-й Київський тупик	1-й Київський тупик
1-й Кільцевий провулок	1-й Кільцевий провулок
1-й Кіровський провулок	1-й Кіровський провулок
1-й Кобзарський провулок	1-й Кобзарський провулок
1-й Ковальський провулок	1-й Ковальський провулок
1-й Козацький провулок	1-й Козацький провулок
1-й Колгоспний провулок	1-й Колгоспний провулок
1-й Колективний провулок	1-й Колективний провулок
1-й Комсомольський провулок	1-й Комсомольський провулок
1-й Комсомольський проїзд	1-й Комсомольський проїзд
1-й Комунальний провулок	1-й Комунальний провулок
1-й Комунарський провулок	1-й Комунарський провулок
1-й Кооперативний провулок	1-й Кооперативний провулок
1-й Короткий тупик	1-й Короткий тупик
1-й Кохнівський проїзд	1-й Кохнівський проїзд
1-й Красносільський провулок	1-й Красносільський провулок
1-й Кременецький провулок	1-й Кременецький провулок
1-й Кривий провулок	1-й Кривий провулок
1-й Кримський провулок	1-й Кримський провулок
1-й Кришталевий провулок	1-й Кришталевий провулок
1-й Кронштадтський провулок	1-й Кронштадтський провулок
1-й Круговий провулок	1-й Круговий провулок
1-й Курганний провулок	1-й Курганний провулок
1-й Курортний провулок	1-й Курортний провулок
1-й Курсовий провулок	1-й Курсовий провулок
1-й Кутаїський в’їзд	1-й Кутаїський вʼїзд
1-й Лазурний провулок	1-й Лазурний провулок
1-й Лазьківський в’їзд	1-й Лазьківський вʼїзд
1-й Лановий провулок	1-й Лановий провулок
1-й Ленінський провулок	1-й Ленінський провулок
1-й Ливарний провулок	1-й Ливарний провулок
1-й Ливарний тупик	1-й Ливарний тупик
1-й Липневий проїзд	1-й Липневий проїзд
1-й Лисогірський в’їзд	1-й Лисогірський вʼїзд
1-й Лісний провулок	1-й Лісний провулок
1-й Лісо-Степовий провулок	1-й Лісо-Степовий провулок
1-й Лісовий провулок	1-й Лісовий провулок
1-й Лозовий провулок	1-й Лозовий провулок
1-й Луганський провулок	1-й Луганський провулок
1-й Луговий провулок	1-й Луговий провулок
1-й Луговий проїзд	1-й Луговий проїзд
1-й Лучанський провулок	1-й Лучанський провулок
1-й Лютневий провулок	1-й Лютневий провулок
1-й Майський провулок	1-й Майський провулок
1-й Малий провулок	1-й Малий провулок
1-й Малокохнівський тупик	1-й Малокохнівський тупик
1-й Мар’янівський провулок	1-й Марʼянівський провулок
1-й Маріупольський провулок	1-й Маріупольський провулок
1-й Маячний провулок	1-й Маячний провулок
1-й Медовий провулок	1-й Медовий провулок
1-й Медовий проїзд	1-й Медовий проїзд
1-й Мельничний провулок	1-й Мельничний провулок
1-й Метеорологічний провулок	1-й Метеорологічний провулок
1-й Микільський провулок	1-й Микільський провулок
1-й Миколаївський провулок	1-й Миколаївський провулок
1-й Мирний провулок	1-й Мирний провулок
1-й Мисливський провулок	1-й Мисливський провулок
1-й Михайлівський провулок	1-й Михайлівський провулок
1-й Мінеральний провулок	1-й Мінеральний провулок
1-й Мічуринський провулок	1-й Мічуринський провулок
1-й Молдавський провулок	1-й Молдавський провулок
1-й Молодіжний провулок	1-й Молодіжний провулок
1-й Молодогвардійський провулок	1-й Молодогвардійський провулок
1-й Московський провулок	1-й Московський провулок
1-й Мостовий провулок	1-й Мостовий провулок
1-й Моторний провулок	1-й Моторний провулок
1-й Набережний провулок	1-й Набережний провулок
1-й Набережний тупик	1-й Набережний тупик
1-й Нагірний провулок	1-й Нагірний провулок
1-й Нектарний провулок	1-й Нектарний провулок
1-й Неманський проїзд	1-й Неманський проїзд
1-й Нижній провулок	1-й Нижній провулок
1-й Низовий провулок	1-й Низовий провулок
1-й Ніжинський проїзд	1-й Ніжинський проїзд
1-й Новий провулок	1-й Новий провулок
1-й Новополонський провулок	1-й Новополонський провулок
1-й Новоприміський проїзд	1-й Новоприміський проїзд
1-й Новоселівський провулок	1-й Новоселівський провулок
1-й Овражний провулок	1-й Овражний провулок
1-й Одеський провулок	1-й Одеський провулок
1-й Озерний провулок	1-й Озерний провулок
1-й Озерний тупик	1-й Озерний тупик
1-й Олександрівський провулок	1-й Олександрівський провулок
1-й Олександрійський провулок	1-й Олександрійський провулок
1-й Олексіївський в’їзд	1-й Олексіївський вʼїзд
1-й Омський в’їзд	1-й Омський вʼїзд
1-й Омський провулок	1-й Омський провулок
1-й Онезький проїзд	1-й Онезький проїзд
1-й Орловський проїзд	1-й Орловський проїзд
1-й Осінній провулок	1-й Осінній провулок
1-й Осінній проїзд	1-й Осінній проїзд
1-й Офіцерський провулок	1-й Офіцерський провулок
1-й Охтирський провулок	1-й Охтирський провулок
1-й Парковий провулок	1-й Парковий провулок
1-й Парковий проїзд	1-й Парковий проїзд
1-й Парниковий провулок	1-й Парниковий провулок
1-й Паровозний провулок	1-й Паровозний провулок
1-й Партизанський провулок	1-й Партизанський провулок
1-й Пасічний провулок	1-й Пасічний провулок
1-й Переїзний провулок	1-й Переїзний провулок
1-й Перекопський провулок	1-й Перекопський провулок
1-й Пересипський провулок	1-й Пересипський провулок
1-й Першотравневий провулок	1-й Першотравневий провулок
1-й Петрівський провулок	1-й Петрівський провулок
1-й Петровский тупик	1-й Петровский тупик
1-й Петропавлівський провулок	1-й Петропавлівський провулок
1-й Печерський провулок	1-й Печерський провулок
1-й Південний провулок	1-й Південний провулок
1-й Північний провулок	1-й Північний провулок
1-й Північно-Лінійний провулок	1-й Північно-Лінійний провулок
1-й Північно-Озерний провулок	1-й Північно-Озерний провулок
1-й Підгірний в’їзд	1-й Підгірний вʼїзд
1-й Піонерський провулок	1-й Піонерський провулок
1-й Піщаний в'їзд	1-й Піщаний вʼїзд
1-й Піщаний провулок	1-й Піщаний провулок
1-й Піщаний тупик	1-й Піщаний тупик
1-й Плідний провулок	1-й Плідний провулок
1-й Подолянський провулок	1-й Подолянський провулок
1-й Покровський провулок	1-й Покровський провулок
1-й Поліський провулок	1-й Поліський провулок
1-й Полтавський провулок	1-й Полтавський провулок
1-й Польовий провулок	1-й Польовий провулок
1-й Польовий проїзд	1-й Польовий проїзд
1-й Польський провулок	1-й Польський провулок
1-й Поперечний провулок	1-й Поперечний провулок
1-й Поштовий провулок	1-й Поштовий провулок
1-й Поштовий тупик	1-й Поштовий тупик
1-й Приамурський провулок	1-й Приамурський провулок
1-й Прибережний провулок	1-й Прибережний провулок
1-й Прибузький провулок	1-й Прибузький провулок
1-й Приморський провулок	1-й Приморський провулок
1-й Приорільський провулок	1-й Приорільський провулок
1-й Проїзний провулок	1-й Проїзний провулок
1-й Пролетарський провулок	1-й Пролетарський провулок
1-й Пролісковий проїзд	1-й Пролісковий проїзд
1-й Промисловий провулок	1-й Промисловий провулок
1-й Прорізний провулок	1-й Прорізний провулок
1-й Радіальний провулок	1-й Радіальний провулок
1-й Радянський провулок	1-й Радянський провулок
1-й Райгородський провулок	1-й Райгородський провулок
1-й Революційний провулок	1-й Революційний провулок
1-й Республіканський провулок	1-й Республіканський провулок
1-й Рибінський тупик	1-й Рибінський тупик
1-й Рівний провулок	1-й Рівний провулок
1-й Річковий провулок	1-й Річковий провулок
1-й Річний провулок	1-й Річний провулок
1-й Робітничий провулок	1-й Робітничий провулок
1-й Робочий провулок	1-й Робочий провулок
1-й Рогатинський провулок	1-й Рогатинський провулок
1-й Рогизнянський провулок	1-й Рогизнянський провулок
1-й Рожевий проїзд	1-й Рожевий проїзд
1-й Роздільний провулок	1-й Роздільний провулок
1-й Рокитнянський провулок	1-й Рокитнянський провулок
1-й Романківський провулок	1-й Романківський провулок
1-й Ромашковий проїзд	1-й Ромашковий проїзд
1-й Роменський в’їзд	1-й Роменський вʼїзд
1-й Рудниковий провулок	1-й Рудниковий провулок
1-й Руднянський провулок	1-й Руднянський провулок
1-й Садівничий проїзд	1-й Садівничий проїзд
1-й Садовий провулок	1-й Садовий провулок
1-й Самаркандський в’їзд	1-й Самаркандський вʼїзд
1-й Санаторний провулок	1-й Санаторний провулок
1-й Свято-Миколаївська провулок	1-й Свято-Миколаївська провулок
1-й Святошинський провулок	1-й Святошинський провулок
1-й Севастопольський провулок	1-й Севастопольський провулок
1-й Селянський провулок	1-й Селянський провулок
1-й Семенівський провулок	1-й Семенівський провулок
1-й Силікатний провулок	1-й Силікатний провулок
1-й Сичівський в’їзд	1-й Сичівський вʼїзд
1-й Сінний провулок	1-й Сінний провулок
1-й Скіфський провулок	1-й Скіфський провулок
1-й Слов’янський провулок	1-й Словʼянський провулок
1-й Смілянський провулок	1-й Смілянський провулок
1-й Смолянський провулок	1-й Смолянський провулок
1-й Соборний провулок	1-й Соборний провулок
1-й Соколовський провулок	1-й Соколовський провулок
1-й Солонцюватий провулок	1-й Солонцюватий провулок
1-й Соляний провулок	1-й Соляний провулок
1-й Сонячний провулок	1-й Сонячний провулок
1-й Сосновий провулок	1-й Сосновий провулок
1-й Софіївський провулок	1-й Софіївський провулок
1-й Сочинський провулок	1-й Сочинський провулок
1-й Спартаківський провулок	1-й Спартаківський провулок
1-й Спасо-Преображенський провулок	1-й Спасо-Преображенський провулок
1-й Спаський проїзд	1-й Спаський проїзд
1-й Старокиївський провулок	1-й Старокиївський провулок
1-й Старокиївський проїзд	1-й Старокиївський проїзд
1-й Стаханівський провулок	1-й Стаханівський провулок
1-й Стахановський провулок	1-й Стахановський провулок
1-й Степовий провулок	1-й Степовий провулок
1-й Стрийський провулок	1-й Стрийський провулок
1-й Стрілецький в’їзд	1-й Стрілецький вʼїзд
1-й Студентський провулок	1-й Студентський провулок
1-й Сумський провулок	1-й Сумський провулок
1-й Східний провулок	1-й Східний провулок
1-й Таврійський провулок	1-й Таврійський провулок
1-й Таганський провулок	1-й Таганський провулок
1-й Танковий проїзд	1-й Танковий проїзд
1-й Театральний провулок	1-й Театральний провулок
1-й Тепличний провулок	1-й Тепличний провулок
1-й Терновий провулок	1-й Терновий провулок
1-й Тетерівський провулок	1-й Тетерівський провулок
1-й Товариський провулок	1-й Товариський провулок
1-й Товариський проїзд	1-й Товариський проїзд
1-й Топольний провулок	1-й Топольний провулок
1-й Тракторний провулок	1-й Тракторний провулок
1-й Трамвайний провулок	1-й Трамвайний провулок
1-й Транзитний провулок	1-й Транзитний провулок
1-й Трипільський провулок	1-й Трипільський провулок
1-й Троїцький провулок	1-й Троїцький провулок
1-й Трояндовий провулок	1-й Трояндовий провулок
1-й Трубний провулок	1-й Трубний провулок
1-й Трудовий провулок	1-й Трудовий провулок
1-й Тупиковий провулок	1-й Тупиковий провулок
1-й Тясминський провулок	1-й Тясминський провулок
1-й Ударний провулок	1-й Ударний провулок
1-й Удянський в’їзд	1-й Удянський вʼїзд
1-й Український провулок	1-й Український провулок
1-й Уманський провулок	1-й Уманський провулок
1-й Упорний провулок	1-й Упорний провулок
1-й Успенський провулок	1-й Успенський провулок
1-й Учительський провулок	1-й Учительський провулок
1-й Фабричний провулок	1-й Фабричний провулок
1-й Фіалковий провулок	1-й Фіалковий провулок
1-й Фізкультурний провулок	1-й Фізкультурний провулок
1-й Фруктовий провулок	1-й Фруктовий провулок
1-й Харківський провулок	1-й Харківський провулок
1-й Хвойний провулок	1-й Хвойний провулок
1-й Хімічний провулок	1-й Хімічний провулок
1-й Хлібний провулок	1-й Хлібний провулок
1-й Хмельовий провулок	1-й Хмельовий провулок
1-й Хорольський тупик	1-й Хорольський тупик
1-й Хотинський провулок	1-й Хотинський провулок
1-й Хуторський проїзд	1-й Хуторський проїзд
1-й Цегельний провулок	1-й Цегельний провулок
1-й Центральний провулок	1-й Центральний провулок
1-й Цимлянський тупик	1-й Цимлянський тупик
1-й Чапаєвський провулок	1-й Чапаєвський провулок
1-й Червоний провулок	1-й Червоний провулок
1-й Червоноармійський провулок	1-й Червоноармійський провулок
1-й Червонопрапорний тупик	1-й Червонопрапорний тупик
1-й Червоностудентський провулок	1-й Червоностудентський провулок
1-й Черемховий проїзд	1-й Черемховий проїзд
1-й Черемшиновий провулок	1-й Черемшиновий провулок
1-й Чернігівський провулок	1-й Чернігівський провулок
1-й Чигиринський провулок	1-й Чигиринський провулок
1-й Чоботарський в’їзд	1-й Чоботарський вʼїзд
1-й Чорнобаївський провулок	1-й Чорнобаївський провулок
1-й Чорноморський провулок	1-й Чорноморський провулок
1-й Чугуївський в’їзд	1-й Чугуївський вʼїзд
1-й Чугуївський провулок	1-й Чугуївський провулок
1-й Чумацький провулок	1-й Чумацький провулок
1-й Чумацький проїзд	1-й Чумацький проїзд
1-й Шахтарський тупик	1-й Шахтарський тупик
1-й Шевченківський провулок	1-й Шевченківський провулок
1-й Шипинський провулок	1-й Шипинський провулок
1-й Широкий провулок	1-й Широкий провулок
1-й Шкільний провулок	1-й Шкільний провулок
1-й Шовковичний в’їзд	1-й Шовковичний вʼїзд
1-й Шосейний провулок	1-й Шосейний провулок
1-й Щасливий провулок	1-й Щасливий провулок
1-й Щедрий провулок	1-й Щедрий провулок
1-й Ювілейний провулок	1-й Ювілейний провулок
1-й Яблуневий провулок	1-й Яблуневий провулок
1-й Ягідний проїзд	1-й Ягідний проїзд
1-й Ялтинський провулок	1-й Ялтинський провулок
1-й Ярмарковий провулок	1-й Ярмарковий провулок
1-й Ясеновий провулок	1-й Ясеновий провулок
1-й Яснополянський провулок	1-й Яснополянський провулок
10-й Аеродромний проїзд	10-й Аеродромний проїзд
10-й Дачний провулок	10-й Дачний провулок
10-й Заярний провулок	10-й Заярний провулок
10-й Каштановий провулок	10-й Каштановий провулок
10-й Ленінський провулок	10-й Ленінський провулок
10-й Озерний провулок	10-й Озерний провулок
10-й Північно-Озерний провулок	10-й Північно-Озерний провулок
10-й Піонерський провулок	10-й Піонерський провулок
10-й Січовий проїзд	10-й Січовий проїзд
10-й Софіївський проїзд	10-й Софіївський проїзд
10-й Тракторний провулок	10-й Тракторний провулок
10-й Хорольський тупик	10-й Хорольський тупик
11-й Аеродромний провулок	11-й Аеродромний провулок
11-й Дачний провулок	11-й Дачний провулок
11-й Ленінський провулок	11-й Ленінський провулок
11-й Північно-Озерний провулок	11-й Північно-Озерний провулок
11-й Січовий проїзд	11-й Січовий проїзд
11-й Софіївський проїзд	11-й Софіївський проїзд
11-й Чорноморський провулок	11-й Чорноморський провулок
12-й Аеродромний провулок	12-й Аеродромний провулок
12-й Ленінський провулок	12-й Ленінський провулок
12-й Січовий проїзд	12-й Січовий проїзд
12-й Чорноморський провулок	12-й Чорноморський провулок
13-й Аеродромний провулок	13-й Аеродромний провулок
13-й Чорноморський провулок	13-й Чорноморський провулок
14-й Аеродромний провулок	14-й Аеродромний провулок
17-й Польовий провулок	17-й Польовий провулок
18-й Польовий провулок	18-й Польовий провулок
19-й Польовий провулок	19-й Польовий провулок
2-й Авіаційний провулок	2-й Авіаційний провулок
2-й Аграрний тупик	2-й Аграрний тупик
2-й Аеродромний провулок	2-й Аеродромний провулок
2-й Алебастровий провулок	2-й Алебастровий провулок
2-й Ангарський проїзд	2-й Ангарський проїзд
2-й Андріївський провулок	2-й Андріївський провулок
2-й Аравійський в’їзд	2-й Аравійський вʼїзд
2-й Арктичний провулок	2-й Арктичний провулок
2-й Артилерійський провулок	2-й Артилерійський провулок
2-й Базарний провулок	2-й Базарний провулок
2-й Банний провулок	2-й Банний провулок
2-й Барвінковий проїзд	2-й Барвінковий проїзд
2-й Басейний провулок	2-й Басейний провулок
2-й Баштанський провулок	2-й Баштанський провулок
2-й Бердичівський провулок	2-й Бердичівський провулок
2-й Береговий провулок	2-й Береговий провулок
