??? 2-й Чайковського провулок	2-й провулок Чайковського
??? 3-й Чайковського провулок	3-й провулок Чайковського
1 Кірова вулиця	1-ша вулиця Кірова
1 лінія вулиця	вулиця 1-ша Лінія
1 Юрченків провулок	1-й провулок Юрченків
1-а «А» лінія	1-ша лінія А
1-а Бабушкіна вулиця	1-ша вулиця Бабушкіна
1-а Будівельників вулиця	1-ша вулиця Будівельників
1-а Віли вулиця	1-ша вулиця Віли
1-а Вірьовчина вулиця	1-ша вулиця Вірьовчина
1-а Водоп’янова вулиця	1-ша вулиця Водопʼянова
1-а Галатовка вулиця	1-ша вулиця Галатовка
1-а Дзержинського вулиця	1-ша вулиця Дзержинського
1-а Ентузіастів вулиця	1-ша вулиця Ентузіастів
1-а Закрупець вулиця	1-ша вулиця Закрупець
1-а Ізотова вулиця	1-ша вулиця Ізотова
1-а Кальчик вулиця	1-ша вулиця Кальчик
1-а Кордівка вулиця	1-ша вулиця Кордівка
1-а Мар’янівська лінія	1-ша Марʼянівська лінія
1-і Плютенці вулиця	вулиця 1-ші Плютенці
1-й Новоселівки перевулок	1-й провулок Новоселівки 
1-й провулок Волi	1-й провулок Волі
1-й провулок Гайдамаків	1-й провулок Гайдамаків
1-й провулок Надрічної	1-й провулок Надрічної
1-й провулок Шевченка	1-й провулок Шевченка
1-й Пушкіна провулокь	1-й провулок Пушкіна
10-а А лінія	10-та лінія А
11-а А лінія	11-та лінія А
13-го Трамвая лінія	лінія 13-го Трамвая
2-а Мар’янівська лінія	2-та Марʼянівська лінія
2-і Плютенці вулиця	вулиця 2-гі Плютенці
2-й іршанський тунель	2-й Іршанський тунель
2-й Кооперативный перулок	2-й Кооперативный провулок
2-й пров. Орджонікідзе	2-й провулок Орджонікідзе
2-й провулок Гайдамаків	2-й провулок Гайдамаків
2-й провулок Горького	2-й провулок Горького
29-а лінія вулицяq	вулиця 29-та лінія
3-й провулок Гайдамаків	3-й провулок Гайдамаків
3-й провулок Горького	3-й провулок Горького
3-й провулок Шевченка	3-й провулок Шевченка
3-я А лінія	3-тя лінія А
3-я Б лінія	3-тя лінія Б
3-я Мар’янівська лінія	3-тя Марʼянівська лінія
4 лінія вулиця	вулиця 4-та Лінія
4-а Мар’янівська лінія	4-та Марʼянівська лінія
4-й провулок Гайдамаків	4-й провулок Гайдамаків
40-річчя Перемоги влця	вулиця 40-річчя Перемоги
9-а А лінія	9-та лінія А
Алея 200 каштанів	алея 200 Каштанів
Військове містечко 161	Військове Містечко 161
Вул. 7-а Пересипська	7-ма Пересипська вулиця
вулиця 21 Cічня	вулиця 21 Cічня
вулиця 40-річчя Перемоги	вулиця 40-річчя Перемоги
Молодогвардійський провулок 1-й	1-й Молодогвардійський провулок
Піонерської Слави вулицяd5e96dc52JFKDJH85f65sa8q8s5dkoh545	вулиця Піонерської Слави
площа 700-річчя Черкас	площа 700-річчя Черкас
провулок 1-й Праці	1-й провулок Праці
провулок 2-й Миру	2-й провулок Миру   
провулок 2-й Праці	2-й провулок Праці
провулок 3-й Праці	3-й провулок Праці
провулок1-й Миру	1-й провулок Миру
проулок 40-річчя Перемоги	провулок 40-річчя Перемоги
Смілянський провулок 1	1-й Смілянський провулок
Смілянський провулок 2	2-й Смілянський провулок
Сокіл-1 житловий масив	житловий масив Сокіл-1
Тополя-1 житловий масив	житловий масив Тополя-1
Тополя-2 житловий масив	житловий масив Тополя-2
Тополя-3 житловий масив	житловий масив Тополя-3
Чехова проїзд 1-й	1-й Чехова проїзд
Чехова проїзд 2-й	2-й Чехова проїзд
Чехова проїзд 3-й	3-й Чехова проїзд