Алмазна вулиця	Алмазна вулиця
Верболозна вулиця	Верболозна вулиця
Вивізна вулиця	Вивізна вулиця
Виїзна вулиця	Виїзна вулиця
Віскозна вулиця	Віскозна вулиця
Електровозна вулиця	Електровозна вулиця
Електролізна вулиця	Електролізна вулиця
Залізна вулиця	Залізна вулиця
Колодезна вулиця	Колодезна вулиця
Колодязна вулиця	Колодязна вулиця
Колхозна вулиця	Колхозна вулиця
Кукурузна вулиця	Кукурузна вулиця
Морозна вулиця	Морозна вулиця
Наскрізна вулиця	Наскрізна вулиця
невиразна стежка	невиразна стежка
Новопрорізна вулиця	Новопрорізна вулиця
Об'зна вулиця	Обʼїзна вулиця
Об'їзна вулиця	Обʼїзна вулиця
Об'їзна дорога	Обʼїзна дорога
Об'їзна Теребовлі	Обʼїзна Теребовлі
Об'їзна Тернополя (І черга)	Обʼїзна Тернополя (І черга)
Об’ їзна вулиця	Обʼїзна вулиця
Об’їзна вулиця	Обʼїзна вулиця
Об’їзна дорога	Обʼїзна дорога
Обїзна вулиця	Обїзна вулиця
Обозна вулиця	Обозна вулиця
Обʼїзна вулиця	Обʼїзна вулиця
Папрочизна вулиця	Папрочизна вулиця
Паровозна вулиця	Паровозна вулиця
Перевізна вулиця	Перевізна вулиця
Переїзна вулиця	Переїзна вулиця
Під'їзна вулиця	Підʼїзна вулиця
Під’їзна вулиця	Підʼїзна вулиця
Підберезна вулиця	Підберезна вулиця
Погрузна вулиця	Погрузна вулиця
Поїзна вулиця	Поїзна вулиця
Привозна вулиця	Привозна вулиця
Приязна вулиця	Приязна вулиця
Проїзна вулиця	Проїзна вулиця
Проїзна дорога	Проїзна дорога
Прорізна вулиця	Прорізна вулиця
Профсоюзна вулиця	Профсоюзна вулиця
Різна вулиця	Різна вулиця
Рогізна вулиця	Рогізна вулиця
Роз'їзна вулиця	Розʼїзна вулиця
Роз’їзна вулиця	Розʼїзна вулиця
Розрізна вулиця	Розрізна вулиця
Розʼїзна вулиця	Розʼїзна вулиця
Садовопроїзна вулиця	Садовопроїзна вулиця
Сквозна вулиця	Сквозна вулиця
Совхозна вулиця	Совхозна вулиця
Союзна вулиця	Союзна вулиця
Староколодязна вулиця	Староколодязна вулиця
Тепловозна вулиця	Тепловозна вулиця
Топазна вулиця	Топазна вулиця
Тритузна вулиця	Тритузна вулиця