Абразивна вулиця	Абразивна вулиця
Адміністративна вулиця	Адміністративна вулиця
Адміністративний провулок	Адміністративний провулок
Активна вулиця	Активна вулиця
Велика Перспективна вулиця	Велика Перспективна вулиця
вулиця Кооперативна	вулиця Кооперативна
вулиця Спортивна	вулиця Спортивна
Декоративна вулиця	Декоративна вулиця
Декоративний провулок	Декоративний провулок
Жнивна вулиця	Жнивна вулиця
Заливна вулиця	Заливна вулиця
Заливний провулок	Заливний провулок
Запливна вулиця	Запливна вулиця
Ініціативна вулиця	Ініціативна вулиця
Ініціативний провулок	Ініціативний провулок
Кінноспортивна вулиця	Кінноспортивна вулиця
Колективна вулиця	Колективна вулиця
Колективний провулок	Колективний провулок
Конструктивна вулиця	Конструктивна вулиця
Коопеаративна вулиця	Коопеаративна вулиця
Кооперативна вулиця	Кооперативна вулиця
Кооперативна площа	Кооперативна площа
Кооперативная вулиця	Кооперативная вулиця
Кооперативний в'їзд	Кооперативний вʼїзд
Кооперативний в’їзд	Кооперативний вʼїзд
Кооперативний провулок	Кооперативний провулок
Локомотивна вулиця	Локомотивна вулиця
Локомотивний провулок	Локомотивний провулок
Мала Спортивна вулиця	Мала Спортивна вулиця
Масивна вулиця	Масивна вулиця
Меліоративна вулиця	Меліоративна вулиця
Меліоративний провулок	Меліоративний провулок
Наливна Станція вулиця	Наливна Станція вулиця
Новоналивна вулиця	Новоналивна вулиця
Обривний провулок	Обривний провулок
Перспективна вулиця	Перспективна вулиця
перспективная для прочистки	перспективная для прочистки
Перспективний провулок	Перспективний провулок
Пивний провулок	Пивний провулок
Підривний провулок	Підривний провулок
Позитивна вулиця	Позитивна вулиця
Прогресивна вулиця	Прогресивна вулиця
Прогресивна Вулиця	Прогресивна Вулиця
Прогресивний провулок	Прогресивний провулок
Реактивна вулиця	Реактивна вулиця
Реактивний провулок	Реактивний провулок
Реконструктивна вулиця	Реконструктивна вулиця
Реконструктивний провулок	Реконструктивний провулок
Самопливний провулок	Самопливний провулок
Споритивний в'їзд	Споритивний вʼїзд
Спортивна вулиця	Спортивна вулиця
Спортивна Друга вулиця	Спортивна Друга вулиця
Спортивна Перша вулиця	Спортивна Перша вулиця
Спортивна площа	Спортивна площа
Спортивна улиця	Спортивна улиця
Спортивна-Хутір вулиця	Спортивна-Хутір вулиця
Спортивний бульвар	Спортивний бульвар
Спортивний в’їзд	Спортивний вʼїзд
Спортивний провулок	Спортивний провулок
Спортивний проїзд	Спортивний проїзд
Спртивна вулиця	Спртивна вулиця
СТ “Спортивний“	СТ “Спортивний“
стежка по валу (перспективна для прочистки)	стежка по валу (перспективна для прочистки)
Тевосяна (Спортивна) вулиця	Тевосяна (Спортивна) вулиця
Федеративна вулиця	Федеративна вулиця