Авдіївське шосе	Авдіївське шосе
Антонівське шосе	Антонівське шосе
Антрацитівське шосе	Антрацитівське шосе
Артемівське шосе	Артемівське шосе
Барське шосе	Барське шосе
Бердичівське шосе	Бердичівське шосе
Бериславське шосе	Бериславське шосе
Білгородське шосе	Білгородське шосе
Болградське шосе	Болградське шосе
Болградське шоссе	Болградське шосе
Борисівське Поле вулиця	Борисівське Поле вулиця
Бориспільське шосе	Бориспільське шосе
Брест-Литовське шосе	Брест-Литовське шосе
Бучанське шосе	Бучанське шосе
Веснянківське шосе	Веснянківське шосе
Виконробське містечко вулиця	Виконробське містечко вулиця
Войнівське шосе	Войнівське шосе
Володарське шосе	Володарське шосе
Вуглегірське шосе	Вуглегірське шосе
вулиця Київське Шосе	вулиця Київське Шосе
Гагарінське Плато	Гагарінське Плато
Ганнопільське шосе	Ганнопільське шосе
Гніванське шосе	Гніванське шосе
Голосківське шосе	Голосківське шосе
Гомельське шосе	Гомельське шосе
Гостомельське шосе	Гостомельське шосе
Гостомельське шосе вулиця	Гостомельське шосе вулиця
Гравійний трейл Бєлгородське Шосе - П'ятихатки (гольф-клуб)	Гравійний трейл Бєлгородське Шосе - Пʼятихатки (гольф-клуб)
Григорівське шосе	Григорівське шосе
Гусятинське шосе	Гусятинське шосе
Дніпровське шосе	Дніпровське шосе
Дніпропетровське шосе	Дніпропетровське шосе
Дубрівське шосе вулиця	Дубрівське шосе вулиця
Енергодарське шосе	Енергодарське шосе
Житомирське шосе	Житомирське шосе
Жмеринське шосе	Жмеринське шосе
Звенигородське шосе	Звенигородське шосе
Золотонішське шосе	Золотонішське шосе
Калуське шосе	Калуське шосе
Калуське Шосе вулиця	Калуське Шосе вулиця
Каховське шосе	Каховське шосе
Киівське шосе вулиця	Київське Шосе вулиця
Київське шосе	Київське шосе
Київське шосе вулиця	Київське Шосе вулиця
Київське Шосе вулиця	Київське Шосе вулиця
Київське шоссе вулиця	Київське Шосе вулиця
Кіровоградське шосе	Кіровоградське шосе
Кожанське шосе	Кожанське шосе
Кожанське шосе вулиця	Кожанське шосе вулиця
Комсомольське шосе	Комсомольське шосе
Копистинське шосе	Копистинське шосе
Користівське шосе	Користівське шосе
Користівське шосе вулиця	Користівське шосе вулиця
Красноармійське шосе	Красноармійське шосе
Красноградське шосе вулиця	Красноградське шосе вулиця
Кримчанське відділення вулиця	Кримчанське відділення вулиця
Куколівське шосе	Куколівське шосе
Ленінградське шосе	Ленінградське шосе
Літинське шосе	Літинське шосе
Лохвицьке міжгосподарське інкубаторно-птахівниче підприємство	Лохвицьке міжгосподарське інкубаторно-птахівниче підприємство
ЛОХВИЦЬКЕ СІЛЬСЬКЕ КОМУНАЛЬНЕ ПІДПРИЄМСТВО ”РАЙСІЛЬКОМУНГОСП”	ЛОХВИЦЬКЕ СІЛЬСЬКЕ КОМУНАЛЬНЕ ПІДПРИЄМСТВО ”РАЙСІЛЬКОМУНГОСП”
Луганське шосе	Луганське шосе
Львівське шосе	Львівське шосе
Макіївське шосе	Макіївське шосе
Максимівське шосе	Максимівське шосе
Маріупольське шосе	Маріупольське шосе
Мелітопольське шосе	Мелітопольське шосе
Мереф’янське шосе	Мерефʼянське шосе
Микитівське шосе	Микитівське шосе
Миколаївське шосе	Миколаївське шосе
Миколаївське шосе вулиця	Миколаївське шосе вулиця
Мінське шосе	Мінське шосе
Мочолівське роздоріжжя	Мочолівське роздоріжжя
Мукачівське шосе	Мукачівське шосе
Наддніпрянське шосе	Наддніпрянське шосе
Нігинське шосе	Нігинське шосе
Нікопольське шосе	Нікопольське шосе
Новоград-Волинське шосе	Новоград-Волинське шосе
Новокиївське шосе	Новокиївське шосе
Новокиївське Шосе	Новокиївське Шосе
Новомиргородське шосе вулиця	Новомиргородське шосе вулиця
Обухівське шосе	Обухівське шосе
Обухівське шосе вулиця	Обухівське шосе вулиця
Одеське шосе	Одеське шосе
Олександрійське шосе	Олександрійське шосе
Оринінське шосе	Оринінське шосе
Оріхівське шосе	Оріхівське шосе
Остерське Шосе вулиця	Остерське Шосе вулиця
Острівське шосе	Острівське шосе
Переяславське Шосе вулиця	Переяславське Шосе вулиця
Пирятинське шосе	Пирятинське шосе
Підволочиське шосе	Підволочиське шосе
Підгороднянське шосе	Підгороднянське шосе
Підгороднянське шосе вулиця	Підгороднянське шосе вулиця
Підпавлівське вулиця	Підпавлівське вулиця
Пліщинське шосе	Пліщинське шосе
Полтавське шосе	Полтавське шосе
Пролетарське вулиця	Пролетарське вулиця
Пролетарське шосе	Пролетарське шосе
ПРОЛЕТАРСЬКЕ ШОСЕ	ПРОЛЕТАРСЬКЕ ШОСЕ
Рідкодубівське Шосе вулиця	Рідкодубівське Шосе вулиця
Рубіжанське шосе	Рубіжанське шосе
Рубіжанське шоссе	Рубіжанське шосе
Сабарівське шосе	Сабарівське шосе
Савінське шосе	Савінське шосе
Салтівське шосе	Салтівське шосе
Семенівське шосе	Семенівське шосе
Сімферопольське шосе	Сімферопольське шосе
Сквирське шосе	Сквирське шосе
Старокостянівське шосе	Старокостянівське шосе
Старокостянтинівське шосе	Старокостянтинівське шосе
Старокримське шосе	Старокримське шосе
Старомиколаївське шосе	Старомиколаївське шосе
Стоянське шосе	Стоянське шосе
Стрийське шосе	Стрийське шосе
Таранівське шосе	Таранівське шосе
Татарське джерело вулиця	Татарське джерело вулиця
Тиврівське шосе	Тиврівське шосе
Тираспільське шосе	Тираспільське шосе
Тираспольське шосе	Тираспольське шосе
Фастівське шосе	Фастівське шосе
Харківське шосе	Харківське шосе
Харківське шосе вулиця	Харківське шосе вулиця
Херсонське шосе	Херсонське шосе
Хрустальське шосе	Хрустальське шосе
Чапаєвське шосе	Чапаєвське шосе
Чаплинське шосе	Чаплинське шосе
Черкаське шосе	Черкаське шосе
Чуднівське шосе	Чуднівське шосе
Шепільське урочище	Шепільське урочище
Широківське шосе	Широківське шосе
Ясинуватське шосе	Ясинуватське шосе